,target,prime,RT,RT_std,acc,acc_std,path sim
1928,cut,cage,426.0,,1.0,,0.0666666666666666
1929,cut,bandaid,509.90140845070425,103.44565929298027,0.971830985915493,0.16663312875171465,0.0
1930,cut,diner,527.8101265822785,168.60795643462586,0.9620253164556962,0.192356371638255,0.0714285714285714
1931,cut,viola,536.5384615384615,139.39414889061618,0.9487179487179487,0.22345586503095896,0.0625
1932,immature,childish,549.1449275362319,119.21449716450532,1.0,0.0,0.3333333333333333
1933,immature,juvenile,569.6507936507936,151.0762634512524,1.0,0.0,0.125
1934,immature,survey,581.2698412698413,190.1951634632519,0.9523809523809523,0.2146693953705459,0.0833333333333333
1935,immature,shiver,581.4901960784314,153.26948457524344,1.0,0.0,0.1
1936,plan,budget,553.7142857142857,191.86776600392366,0.9841269841269841,0.1259881576697424,0.0769230769230769
1937,plan,up,716.0,,1.0,,0.0909090909090909
1938,plan,strategy,576.7714285714286,314.3052228087947,1.0,0.0,0.3333333333333333
1939,plan,visitor,513.9583333333334,140.37093084734587,1.0,0.0,0.0833333333333333
1940,plan,moist,563.457627118644,206.88788585007518,0.9661016949152542,0.182520824972938,0.1111111111111111
1941,guess,simple,510.6290322580645,121.91669204439613,1.0,0.0,0.0666666666666666
1942,guess,theorem,540.0126582278481,151.2622526226694,1.0,0.0,0.1666666666666666
1943,guess,hypothesis,541.0243902439024,154.47370129003806,1.0,0.0,0.2
1944,guess,tub,562.78125,179.8580982771502,1.0,0.0,0.0714285714285714
1945,never,ever,564.72,180.55803588963943,1.0,0.0,0.3333333333333333
1946,never,bias,565.9545454545455,133.0305008819589,1.0,0.0,0.1
1947,never,noun,532.2435897435897,107.17035666631583,0.9871794871794872,0.11322770341445956,0.1
1948,never,once,534.3181818181819,123.42058415015775,1.0,0.0,0.3333333333333333
1949,letters,compassion,535.0192307692307,121.53374265329876,1.0,0.0,0.0714285714285714
1950,letters,alphabet,547.72,118.90487365786079,1.0,0.0,0.0666666666666666
1951,letters,scrambled,534.4285714285714,204.40694620233904,0.9761904761904762,0.1533709949008578,0.0769230769230769
1952,letters,phase,523.0833333333334,152.46775615410186,1.0,0.0,0.0769230769230769
1953,fiction,flower,565.8529411764706,159.25697479567768,1.0,0.0,0.0588235294117647
1954,fiction,cuff,830.0,,1.0,,0.0666666666666666
1955,fiction,steak,551.9583333333334,180.8681285621584,1.0,0.0,0.0714285714285714
1956,fiction,facts,557.2127659574468,150.5728100881276,0.9787234042553191,0.14586499149789456,0.1
1957,fiction,fairytale,558.1470588235294,120.58019646262869,1.0,0.0,0.125
1958,fiction,toothpaste,583.625,79.92306568551678,0.875,0.3535533905932738,0.0625
1959,fiction,warrior,556.875,127.9547213442541,1.0,0.0,0.0909090909090909
1960,fiction,dove,621.375,220.4890262899397,1.0,0.0,0.05
1961,bow,arrow,538.8555555555556,180.18626823629995,0.9666666666666667,0.18051113445691194,0.0555555555555555
1962,bow,upstairs,456.0,,1.0,,0.0909090909090909
1963,bow,violin,601.2291666666666,284.88207635630226,0.9583333333333334,0.20194093652345885,0.1111111111111111
1964,bow,chance,608.2727272727273,274.95381122775524,0.8863636363636364,0.32103822064055043,0.0588235294117647
1965,bow,flea,566.0588235294117,190.7183499966926,0.8676470588235294,0.3413936216694646,0.0769230769230769
1966,lots,ton,527.0537634408602,266.7884834548913,1.0,0.0,0.1111111111111111
1967,lots,dew,508.2,160.72642786855127,1.0,0.0,0.0714285714285714
1968,lots,elevator,552.6808510638298,153.19014986823157,0.9574468085106383,0.20402970888857874,0.0714285714285714
1969,lots,abundance,523.9193548387096,107.06843198368881,1.0,0.0,0.0909090909090909
1970,cocaine,drug,569.5180722891566,194.99964736964884,1.0,0.0,0.25
1971,cocaine,crack,553.9285714285714,150.73454778551564,1.0,0.0,0.0833333333333333
1972,cocaine,hip,573.0701754385965,226.9066721024561,0.9824561403508771,0.13245323570650439,0.0909090909090909
1973,cocaine,filthy,537.4791666666666,167.84947532014579,1.0,0.0,0.1
1974,swing,hammock,542.3934426229508,181.81999144653344,0.9672131147540983,0.1795562228341584,0.0833333333333333
1975,swing,hinge,516.4193548387096,135.3227530317852,1.0,0.0,0.0666666666666666
